School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2012-13,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2012-13,Agency ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2012-13,County Number [Public School] 2012-13,Race/Ethnicity Category [Public School] 2012-13,ANSI/FIPS State Code [Public School] Latest available year,Years School Reported Data [Public School] Latest available year,Years School Did Not Report Data [Public School] Latest available year,Location City [Public School] 2014-15,Location State Abbr [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location Address 1 [Public School] 2014-15,School Type [Public School] 2012-13,Agency Type [District] 2012-13,Start of Year Status [Public School] 2012-13,Charter School [Public School] 2012-13
GLEDHILL STREET ELEMENTARY,California,CA ,GLEDHILL STREET ELEMENTARY,062271003043,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,NORTH HILLS,CA ,91343,16030 GLEDHILL ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN A. WILSON HIGH,California,CA ,GLEN A. WILSON HIGH,061632502072,HACIENDA LA PUENTE UNF,0616325,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,HACIENDA HEIGHTS,CA ,91745,16455 WEDGEWORTH DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN ALTA ELEMENTARY,California,CA ,GLEN ALTA ELEMENTARY,062271003044,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90031,3410 SIERRA ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN AVON ELEMENTARY,California,CA ,GLEN AVON ELEMENTARY,061926002310,JURUPA UNF,0619260,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1986-2014,,JURUPA VALLEY,CA ,92509,4352 PYRITE ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN CITY ELEMENTARY,California,CA ,GLEN CITY ELEMENTARY,063573006107,SANTA PAULA ELEM,0635730,VENTURA COUNTY,06111,Reported 7 categories,06,1986-2012,2013-2014,,,,,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN COVE ELEMENTARY,California,CA ,GLEN COVE ELEMENTARY,064074009455,VALLEJO CITY UNF,0640740,SOLANO COUNTY,06095,Reported 7 categories,06,1988-2014,1986-1987,VALLEJO,CA ,94591,501 GLEN COVE PKWY.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN EDWARDS MIDDLE,California,CA ,GLEN EDWARDS MIDDLE,064214009656,WESTERN PLACER UNF,0642140,PLACER COUNTY,06061,Reported 7 categories,06,1989-2014,1986-1988,LINCOLN,CA ,95648,204 L ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN H. DYSINGER SR. ELEMENTARY,California,CA ,GLEN H. DYSINGER SR. ELEMENTARY,060807000776,CENTRALIA ELEM,0608070,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,BUENA PARK,CA ,90620,7770 CAMELLIA DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN OAK ELEMENTARY,California,CA ,GLEN OAK ELEMENTARY,060819000802,CHARTER OAK UNF,0608190,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,COVINA,CA ,91724,1000 N. SUNFLOWER AVE,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN PARK ELEMENTARY,California,CA ,GLEN PARK ELEMENTARY,063441005618,SAN FRANCISCO UNF,0634410,SAN FRANCISCO COUNTY,06075,Reported 7 categories,06,1986-2014,,SAN FRANCISCO,CA ,94131,151 LIPPARD AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN PAUL,California,CA ,GLEN PAUL,069100909223,HUMBOLDT COUNTY OFFICE OF EDUCATION,0691009,HUMBOLDT COUNTY,06023,Reported 7 categories,06,1987-2014,1986,EUREKA,CA ,95503,2501 CYPRESS AVE.,2-Special education school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
GLEN VIEW ELEMENTARY,California,CA ,GLEN VIEW ELEMENTARY,061518001912,GILROY UNF,0615180,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,GILROY,CA ,95020,600 EIGHTH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN VIEW ELEMENTARY,California,CA ,GLEN VIEW ELEMENTARY,061288001455,ESCONDIDO UNION,0612880,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,ESCONDIDO,CA ,92027,2201 E. MISSION AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN VIEW HIGH,California,CA ,GLEN VIEW HIGH,060429008261,BEAUMONT UNF,0604290,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1999-2014,1986-1998,BEAUMONT,CA ,92223,905 MICHIGAN AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLEN YERMO ELEMENTARY,California,CA ,GLEN YERMO ELEMENTARY,063386005299,SADDLEBACK VALLEY UNF,0633860,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,MISSION VIEJO,CA ,92691,26400 TRABUCO RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENDALE HIGH,California,CA ,GLENDALE HIGH,061524001931,GLENDALE UNF,0615240,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,GLENDALE,CA ,91205,1440 E. BRD.WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENDORA HIGH,California,CA ,GLENDORA HIGH,061527001953,GLENDORA UNF,0615270,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,GLENDORA,CA ,91741,1600 E. FOOTHILL BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENFELIZ BOULEVARD ELEMENTARY,California,CA ,GLENFELIZ BOULEVARD ELEMENTARY,062271003045,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90039,3955 GLENFELIZ BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENKNOLL ELEMENTARY,California,CA ,GLENKNOLL ELEMENTARY,063066004761,PLACENTIA-YORBA LINDA UNF,0630660,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,YORBA LINDA,CA ,92886,6361 GLENKNOLL DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENMEADE ELEMENTARY,California,CA ,GLENMEADE ELEMENTARY,060846000841,CHINO VALLEY UNF,0608460,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1986-2014,,CHINO HILLS,CA ,91709,15000 WHIRLAWAY LN.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENMOOR ELEMENTARY,California,CA ,GLENMOOR ELEMENTARY,061440001663,FREMONT UNF,0614400,ALAMEDA COUNTY,06001,Reported 7 categories,06,1986-2014,,FREMONT,CA ,94536,4620 MATTOS DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENN COUNTY JUVENILE COURT,California,CA ,GLENN COUNTY JUVENILE COURT,069100807086,GLENN COUNTY OFFICE OF EDUCATION,0691008,GLENN COUNTY,06021,Reported 7 categories,06,1997-2014,1986-1996,WILLOWS,CA ,95988,311 S. VILLA AVE.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
GLENN COUNTY OPPORTUNITY,California,CA ,GLENN COUNTY OPPORTUNITY,069100803076,GLENN COUNTY OFFICE OF EDUCATION,0691008,GLENN COUNTY,06021,Reported 7 categories,06,1994-2013,1986-1993 2014,,,,,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
GLENN COUNTY ROP,California,CA ,GLENN COUNTY ROP,060009910791,GLENN COUNTY ROP,0600099,GLENN COUNTY,06021,Reported 7 categories,06,2004-2014,1986-2003,WILLOWS,CA ,95988,311 S. VILLA ST.,3-Vocational school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
GLENN COUNTY SPECIAL EDUCATION,California,CA ,GLENN COUNTY SPECIAL EDUCATION,069100809221,GLENN COUNTY OFFICE OF EDUCATION,0691008,GLENN COUNTY,06021,Reported 7 categories,06,1987-2014,1986,WILLOWS,CA ,95988,311 S. VILLA AVE.,2-Special education school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
GLENN HAMMOND CURTISS MIDDLE,California,CA ,GLENN HAMMOND CURTISS MIDDLE,062271002944,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,CARSON,CA ,90746,1254 E. HELMICK ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENOAKS ELEMENTARY,California,CA ,GLENOAKS ELEMENTARY,061524001932,GLENDALE UNF,0615240,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,GLENDALE,CA ,91206,2015 E. GLENOAKS BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENSHIRE ELEMENTARY,California,CA ,GLENSHIRE ELEMENTARY,063877004954,TAHOE-TRUCKEE JOINT UNF,0638770,NEVADA COUNTY,06057,Reported 7 categories,06,1995-2014,1986-1994,TRUCKEE,CA ,96161,10990 DORCHESTER,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENVIEW ELEMENTARY,California,CA ,GLENVIEW ELEMENTARY,063066004762,PLACENTIA-YORBA LINDA UNF,0630660,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,ANAHEIM,CA ,92807,1775 GLENVIEW AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENVIEW ELEMENTARY,California,CA ,GLENVIEW ELEMENTARY,062805004266,OAKLAND UNF,0628050,ALAMEDA COUNTY,06001,Reported 7 categories,06,1986-2014,,OAKLAND,CA ,94602,4215 LA CRESTA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENWOOD ELEMENTARY,California,CA ,GLENWOOD ELEMENTARY,062271003046,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,SUN VALLEY,CA ,91352,8001 LEDGE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENWOOD ELEMENTARY,California,CA ,GLENWOOD ELEMENTARY,063509005935,SAN RAFAEL CITY ELEM,0635090,MARIN COUNTY,06041,Reported 7 categories,06,1986-2014,,SAN RAFAEL,CA ,94901,25 CASTLEWOOD DR,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENWOOD ELEMENTARY,California,CA ,GLENWOOD ELEMENTARY,063324003736,ROBLA ELEM,0633240,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1994-2014,1986-1993,SACRAMENTO,CA ,95838,201 JESSIE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENWOOD ELEMENTARY,California,CA ,GLENWOOD ELEMENTARY,060964001012,CONEJO VALLEY UNF,0609640,VENTURA COUNTY,06111,Reported 7 categories,06,1986-2014,,THOUSAND OAKS,CA ,91360,1135 WINDSOR DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLENWOOD ELEMENTARY,California,CA ,GLENWOOD ELEMENTARY,062181002586,LINDEN UNF,0621810,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,1986-2014,,STOCKTON,CA ,95215,2005 N. ALPINE RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLIDER ELEMENTARY,California,CA ,GLIDER ELEMENTARY,062781004214,OAK GROVE ELEM,0627810,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,SAN JOSE,CA ,95123,511 COZY DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLOBAL EDUCATION ACADEMY,California,CA ,GLOBAL EDUCATION ACADEMY,062271011931,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2006-2014,1986-2005,LOS ANGELES,CA ,90037,4141 S. FIGUEROA ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
GLOBAL FAMILY,California,CA ,GLOBAL FAMILY,062805012053,OAKLAND UNF,0628050,ALAMEDA COUNTY,06001,Reported 7 categories,06,2007-2014,1986-2006,OAKLAND,CA ,94601,2035 40TH AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GLOBAL YOUTH CHARTER,California,CA ,GLOBAL COLLEGE PREP CHARTER HIGH,060790011081,CENTER JOINT UNF,0607900,SACRAMENTO COUNTY,06067,Reported 7 categories,06,2004-2014,1986-2003,ANTELOPE,CA ,95843,3243 CENTER CT. LN.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
GLORIETTA ELEMENTARY,California,CA ,GLORIETTA ELEMENTARY,062886004471,ORINDA UNION ELEM,0628860,CONTRA COSTA COUNTY,06013,Reported 7 categories,06,1986-2014,,ORINDA,CA ,94563,15 MARTHA RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GODDARD MIDDLE,California,CA ,GODDARD MIDDLE,061527001954,GLENDORA UNF,0615270,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,GLENDORA,CA ,91741,859 E. SIERRA MADRE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GODFREY G. BERRY ELEMENTARY,California,CA ,GODFREY G. BERRY ELEMENTARY,063738006316,SOUTH BAY UNION ELEM,0637380,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,SAN DIEGO,CA ,92154,2001 RIMBEY ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOETHE INTERNATIONAL CHARTER,California,CA ,GOETHE INTERNATIONAL CHARTER,062271012215,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2008-2014,1986-2007,LOS ANGELES,CA ,90066,12500 BRADDOCK DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
GOLD OAK ELEMENTARY,California,CA ,GOLD OAK ELEMENTARY,061539001962,GOLD OAK UNION ELEM,0615390,EL DORADO COUNTY,06017,Reported 7 categories,06,1986-2014,,PLACERVILLE,CA ,95667,3171 PLEASANT VALLEY RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOLD RIDGE ELEMENTARY,California,CA ,GOLD RIDGE ELEMENTARY,061389007611,FOLSOM-CORDOVA UNF,0613890,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1998-2014,1986-1997,FOLSOM,CA ,95630,735 HALIDON WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOLD RIVER DISCOVERY CENTER K-8,California,CA ,GOLD RIVER DISCOVERY CENTER K-8,063462002560,SAN JUAN UNF,0634620,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1993-2014,1986-1992,GOLD RIVER,CA ,95670,2200 ROARING CAMP DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOLD RUSH CHARTER,California,CA ,GOLD RUSH CHARTER,063828011827,SUMMERVILLE UNION HIGH,0638280,TUOLUMNE COUNTY,06109,Reported 7 categories,06,2006-2014,1986-2005,SONORA,CA ,95370,19411 VILLAGE DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
GOLD STRIKE HIGH,California,CA ,GOLD STRIKE HIGH,060687000627,CALAVERAS UNF,0606870,CALAVERAS COUNTY,06009,Reported 7 categories,06,1986-2014,,SAN ANDREAS,CA ,95249,501 GOLD STRIKE RD.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOLD TRAIL,California,CA ,GOLD TRAIL,061545001963,GOLD TRAIL UNION ELEM,0615450,EL DORADO COUNTY,06017,Reported 7 categories,06,1986-2014,,PLACERVILLE,CA ,95667,889 COLD SPRINGS RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOLDEN EAGLE CHARTER,California,CA ,GOLDEN EAGLE CHARTER,069103812203,SISKIYOU COUNTY OFFICE OF EDUCATION,0691038,SISKIYOU COUNTY,06093,Reported 7 categories,06,2008-2014,1986-2007,MOUNT SHASTA,CA ,96067,2405 S. MOUNT SHASTA BLVD.,1-Regular school,4-Regional Education Service Agency (RESA),1-Currently operational ,1-Yes
GOLDEN ELEMENTARY,California,CA ,GOLDEN ELEMENTARY,063066004763,PLACENTIA-YORBA LINDA UNF,0630660,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,PLACENTIA,CA ,92870,740 E. GOLDEN AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOLDEN EMPIRE ELEMENTARY,California,CA ,GOLDEN EMPIRE ELEMENTARY,063384005245,SACRAMENTO CITY UNF,0633840,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1986-2014,,SACRAMENTO,CA ,95826,9045 CANBERRA DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOLDEN FEATHER COMMUNITY DAY,California,CA ,GOLDEN FEATHER COMMUNITY DAY,061548008684,GOLDEN FEATHER UNION ELEM,0615480,BUTTE COUNTY,06007,Reported 7 categories,06,2001-2014,1986-2000,OROVILLE,CA ,95965,11679 NELSON BAR RD.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOLDEN GATE COMMUNITY,California,CA ,GOLDEN GATE COMMUNITY,069100510472,CONTRA COSTA COUNTY OFFICE OF EDUCATION,0691005,CONTRA COSTA COUNTY,06013,Reported 7 categories,06,2002-2014,1986-2001,MARTINEZ,CA ,94553,222 GLACIER DR.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
GOLDEN HILL ELEMENTARY,California,CA ,GOLDEN HILL ELEMENTARY,061473001793,FULLERTON ELEM,0614730,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,FULLERTON,CA ,92832,732 BARRIS DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOLDEN HILL K-8,California,CA ,GOLDEN HILL K-8,063432011157,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,2006-2014,1986-2005,SAN DIEGO,CA ,92102,1240 33RD ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOLDEN HILLS ELEMENTARY,California,CA ,GOLDEN HILLS ELEMENTARY,062954011570,PALERMO UNION ELEM,0629540,BUTTE COUNTY,06007,Reported 7 categories,06,2006-2014,1986-2005,OROVILLE,CA ,95966,2400 VIA CANELA,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOLDEN HILLS ELEMENTARY,California,CA ,GOLDEN HILLS ELEMENTARY,063888008994,TEHACHAPI UNF,0638880,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,TEHACHAPI,CA ,93561,20215 PARK RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
GOLDEN LAKES CHARTER,California,CA ,GOLDEN LAKES CHARTER,069104612685,TUOLUMNE COUNTY SUPERINTENDENT OF SCHOOLS,0691046,TUOLUMNE COUNTY,06109,Reported 7 categories,06,2010-2013,1986-2009 2014,,,,,1-Regular school,4-Regional Education Service Agency (RESA),1-Currently operational ,1-Yes
GOLDEN OAK COMMUNITY,California,CA ,GOLDEN OAK COMMUNITY,063822012288,SULPHUR SPRINGS UNION,0638220,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2008-2014,1986-2007,SANTA CLARITA,CA ,91321,25201 VIA PRINCESSA,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
